,reconstruction_error,run,iterations,components,model
0,0.29299708984369083,0,1001,1,L2
1,0.29185329121468645,1,1001,1,L2
2,0.29225668497901863,2,1001,1,L2
3,0.29271605909052817,3,1001,1,L2
4,0.2919563989813973,4,1001,1,L2
5,0.29314128037380327,0,1001,1,L21
6,0.2933235148734294,1,1001,1,L21
7,0.29193899977413773,2,1001,1,L21
8,0.29435739547699147,3,1001,1,L21
9,0.29299198366905715,4,1001,1,L21
10,0.19510676259507095,0,1001,10,L2
11,0.19544092900914564,1,1001,10,L2
12,0.19499909259346015,2,1001,10,L2
13,0.1949353856542987,3,1001,10,L2
14,0.19642214234926672,4,1001,10,L2
15,0.19581634040569457,0,1001,10,L21
16,0.19519674655872396,1,1001,10,L21
17,0.19473426023860763,2,1001,10,L21
18,0.19518591435984267,3,1001,10,L21
19,0.19523546538722306,4,1001,10,L21
20,0.16843417115599796,0,1001,20,L2
21,0.1671558189648833,1,1001,20,L2
22,0.16822338876144186,2,1001,20,L2
23,0.16834370707657315,3,1001,20,L2
24,0.16734206717670136,4,1001,20,L2
25,0.16824674051963195,0,1001,20,L21
26,0.16862735788894656,1,1001,20,L21
27,0.16889396928603834,2,1001,20,L21
28,0.16789340643020365,3,1001,20,L21
29,0.16848544102093077,4,1001,20,L21
30,0.13160777593653863,0,1001,50,L2
31,0.1306453326805015,1,1001,50,L2
32,0.13042204563186124,2,1001,50,L2
33,0.13071142079502227,3,1001,50,L2
34,0.13105679475787935,4,1001,50,L2
35,0.1315995819464284,0,1001,50,L21
36,0.13195414190653068,1,1001,50,L21
37,0.1322221648702154,2,1001,50,L21
38,0.13176770814551128,3,1001,50,L21
39,0.13096665460892748,4,1001,50,L21
40,0.11490408337727545,0,1001,75,L2
41,0.11428148427076412,1,1001,75,L2
42,0.11435196023637864,2,1001,75,L2
43,0.1140244894111663,3,1001,75,L2
44,0.11392205678821803,4,1001,75,L2
45,0.11488876317054825,0,1001,75,L21
46,0.11579016473088587,1,1001,75,L21
47,0.11465397430994807,2,1001,75,L21
48,0.11492530796395088,3,1001,75,L21
49,0.11494862776720519,4,1001,75,L21
50,0.10270310655080771,0,1001,100,L2
51,0.1013216904200281,1,1001,100,L2
52,0.10234676208609529,2,1001,100,L2
53,0.10221666233940867,3,1001,100,L2
54,0.10168596648084106,4,1001,100,L2
55,0.10321386662032132,0,1001,100,L21
56,0.10305202935716504,1,1001,100,L21
57,0.10308138332254872,2,1001,100,L21
58,0.10308647797829741,3,1001,100,L21
59,0.10254429787335417,4,1001,100,L21
