,reconstruction_error,run,k
0,0.29249777896743545,0,1
1,0.29232864444651896,1,1
2,0.2927469296034851,2,1
3,0.29405709787681367,3,1
4,0.2927255873030796,4,1
5,0.09112104045066377,0,124
6,0.09014581789233725,1,124
7,0.0913441469418572,2,124
8,0.09119940113108872,3,124
9,0.09053738619076598,4,124
10,0.05517637485084381,0,247
11,0.05536874062733573,1,247
12,0.0550672275725036,2,247
13,0.0551510737207981,3,247
14,0.05490066336961876,4,247
15,0.033294616232848885,0,370
16,0.03353320600194358,1,370
17,0.033562595904972126,2,370
18,0.03285508495121982,3,370
19,0.032750624555628424,4,370
20,0.018709748578489966,0,493
21,0.01830879656818864,1,493
22,0.018828393594594456,2,493
23,0.0186778148550887,3,493
24,0.018753843173041792,4,493
25,0.009767328271776714,0,617
26,0.009853890833794652,1,617
27,0.010136943262316955,2,617
28,0.0100372190457057,3,617
29,0.01012266398392654,4,617
30,0.00513933647001536,0,740
31,0.0050155762411972695,1,740
32,0.005093289293343739,2,740
33,0.005239287420504227,3,740
34,0.005368414268133522,4,740
35,0.0024197306723836836,0,863
36,0.0026341900893515203,1,863
37,0.0024373734431561837,2,863
38,0.002594890259653921,3,863
39,0.0024426303862493987,4,863
40,0.0010371898919261195,0,986
41,0.0010527352429384872,1,986
42,0.0010729599429538672,2,986
43,0.0010572924009730608,3,986
44,0.0010046309922424324,4,986
45,1.5283083362422315e-09,0,1110
46,8.432658568982745e-10,1,1110
47,1.3283416478408392e-08,2,1110
48,5.439548446194436e-09,3,1110
49,3.1375172472260023e-09,4,1110
